brand,series,model,vlt,irr,uvr
NANOTECH,PRO MAX,PX70,65.0,99.5,99.4
NANOTECH,PRO MAX,PX40,45.0,99.5,99.5
NANOTECH,PRO MAX,PX20,18.0,99.6,99.4
NANOTECH,PRO MAX,PX05,8.0,99.5,99.4
NANOTECH,SP PLUS NANOTECH SAFETY,SP70,67.7,92.5,99.4
NANOTECH,SP PLUS NANOTECH SAFETY,SP35,35.3,94.3,99.5
NANOTECH,SP PLUS NANOTECH SAFETY,SP20,18.6,93.1,99.6
NANOTECH,SP PLUS NANOTECH SAFETY,SP05,7.6,96.1,99.9
NANOTECH,SUPER NCI,SUPER NCI,,,
NANOTECH,NANOTECH CERAMIC+SPUTTER,NCI70,67.7,92.5,99.4
NANOTECH,NANOTECH CERAMIC+SPUTTER,NCI50,45.0,94.3,99.5
NANOTECH,NANOTECH CERAMIC+SPUTTER,NCI35,35.3,94.3,99.5
NANOTECH,NANOTECH CERAMIC+SPUTTER,NCI20,18.6,95.1,99.6
NANOTECH,NANOTECH CERAMIC+SPUTTER,NCI05,7.6,96.1,99.9
NANOTECH,NANOTECH CERAMIC+SPUTTER 2M,NCIEXTRA70,,,
AMERICAN KING,HIGH CERAMIC,HI-CM70,77.2,80,99.9
AMERICAN KING,HIGH CERAMIC,HI-CM50,,,
AMERICAN KING,HIGH CERAMIC,HI-CM35,44.3,87,99.9
AMERICAN KING,HIGH CERAMIC,HI-CM25,29.8,92,99.9
AMERICAN KING,HIGH CERAMIC,HI-CM15,18.5,92,99.9
AMERICAN KING,HIGH CERAMIC,HI-CM05,5.4,97,99.9
AMERICAN KING,ULTRA UV400,ULTRA UV70,,,
AMERICAN KING,ULTRA UV400,ULTRA UV30,,,
AMERICAN KING,ULTRA UV400,ULTRA UV15,,,
AMERICAN KING,ULTRA UV400,ULTRA UV05,,,
G-TEC,CERAMIC CARBON,CM80,78.0,77.0,99.1
G-TEC,CERAMIC CARBON,CM40,45.0,79.0,99.2
G-TEC,CERAMIC CARBON,CM30,27.0,80.0,99.3
G-TEC,CERAMIC CARBON,CM20,22.0,83.0,99.5
G-TEC,CERAMIC CARBON,CM15,14.0,85.0,99.8
G-TEC,CERAMIC CARBON,CM05,8.0,89.0,99.9
MAXTECH,CARBON,BK35,31.70,42,99
MAXTECH,CARBON,BK20,17,53,99
MAXTECH,CARBON,BK05,6.6,68,99
Izy-Kool,Original Series,LGN 20 (เขียวใส 20% ),,,
Izy-Kool,Original Series,TSM35 (ควันบุหรี่40),,,
Izy-Kool,Original Series,LBL35 (ฟ้าใส40),,,
Izy-Kool,Original Series,TGN 20 (ปรอทเขียว 60%),,,
Izy-Kool,Original Series,TBL20 (ปรอทฟ้า60),,,
Izy-Kool,Original Series,TEAL20 (ปรอทเทอร์คงอยส์60),,,
Izy-Kool,Original Series,LOFT20 (ปรอทสีปูนดิบ60),,,
Izy-Kool,Original Series,SHD15 (ชาโดว์60),,,
Izy-Kool,Original Series,TGR05 (ปรอทเทา80),,,
Izy-Kool,Original Series,TGR15 (ปรอทเทา60),,,
Izy-Kool,Original Series,TNI15 (ปรอทนิกเกิล70),,,
Izy-Kool,Original Series,TSM05 (ควันบุหรี่80),,,
Izy-Kool,Original Series,TBL05 (ปรอทฟ้าเข้ม80),,,
Izy-Kool,Original Series,TI 05 (ไททาเนียม80),,,
Izy-Kool,Original Series,TGP05 (ปรอทกราไฟร์80),,,
Izy-Kool,Original Series,TBK05 (ปรอทดำเข้ม90),,,
Izy-Kool,Original Series,GP05 (กราไฟร์80),,,
Izy-Kool,Original Series,TSF 05 (ปรอทน้ำเงิน 80),,,
Izy-Kool,Black Series,SBK05,,,
Izy-Kool,Black Series,SBK15,,,
Izy-Kool,Black Series,SBK20,,,
Izy-Kool,Black Series,SBK35,,,
Izy-Kool,Ceramic Series,IZY05,,,
Izy-Kool,Ceramic Series,IZY15,,,
Izy-Kool,Ceramic Series,IZY20,,,
Izy-Kool,Ceramic Series,IZY35,,,
Izy-Kool,Ceramic Series,IZY70,,,
Nanomax,Safety Series,Nanomax S70,,,
Nanomax,Safety Series,Nanomax S15,,,
COOPER,CAR,Cooper BLUE 05,,,
COOPER,DECORATIVE,Cooper GREEN 05,,,
COOPER,DECORATIVE,WHITE DROP 127cm,,,
COOPER,DECORATIVE,WHITE DRIP 150 cm,,,
COOPER,DECORATIVE,Rainbow (รุ้ง),,,
COOPER,DECORATIVE,Cooper Black Out (hi-won),,,
COOPER,DECORATIVE,BLACKOUT (เงา),,,
COOPER,DECORATIVE,Cooper Black Out (Titan) ด้าน,,,
COOPER,DECORATIVE,WHITE MATTE,,,
COOPER,DECORATIVE,Cooper Blue Matte,,,
COOPER,DECORATIVE,Cooper Silver Matte,,,
COOPER,DECORATIVE,Cooper Silver Blue Matte,,,
COOPER,DECORATIVE,SILVER OUT,,,
COOPER,DECORATIVE,SILVER GOLD,,,
COOPER,DECORATIVE,Art Yellow ฟิล์มสีเหลืองกันแมลง,,,
COOPER,Safety Series,SAFETY 2 MIL,,,
COOPER,Safety Series,Safety Film IR 2.0,,,
COOPER,Safety Series,SAFETY 4 MIL,,,
COOPER,Safety Series,Safety Film IR 4.0,,,
COOPER,Safety Series,Safety Film IR 5.0,,,
COOPER,CAR,Cooper QS50 (ติดรถ),,,
COOPER,CAR,Cooper QS20 (ติดรถ),,,
COOPER,CAR,Cooper QS05 (ติดรถ),,,
COOPER,CAR,Ceramic 2090 (ติดรถ),,,
COOPER,CAR,Ceramic 0590 (ติดรถ),,,
COOPER,CAR,NANO MN BK 35,,,
COOPER,CAR,NANO MN BK 15 (CBK 15),,,
COOPER,CAR,GT05,,,
COOPER,CAR,SMART 20,,,
COOPER,CAR,SMART 05,,,
COOPER,CAR,G05,,,
COOPER,CAR,HP05 CHARCOAL,,,
COOPER,CAR,HP15 CHARCOAL,,,
COOPER,CAR,HP20 CHARCOAL,,,
COOPER,CAR,HP30 CHARCOAL,,,
COOPER,CAR,HP50 CHARCOAL,,,
COOPER,CAR,SPECTRA 10 GREY,,,
COOPER,CAR,SPECTRA 20 GREY,,,
COOPER,CAR,SPECTRA 35 GREY,,,
3M,Prestige Exterior,PR20EX,,,
3M,Prestige Exterior,PR40EX,,,
3M,Prestige Exterior,PR50EX,,,
3M,Prestige Exterior,PR70EX,,,
3M,Prestige,PR20,,,
3M,Prestige,PR40,,,
3M,Prestige,PR50,,,
3M,Prestige,PR70,,,
3M,Night Vision,NV15,,,
3M,Night Vision,NV25,,,
3M,Night Vision,NV35,,,
3M,Ceramic Arch Interior,CA35,,,
3M,Ceramic Arch Interior,CA45,,,
3M,Ceramic Arch Interior,CA60,,,
3M,Ceramic Arch Interior,CA80,,,
3M,Ceramic IR,CMIR5,,,
3M,Ceramic IR,CMIR15,,,
3M,Ceramic IR,CMIR25,,,
3M,Ceramic IR,CMIR35,,,
3M,Ceramic IR,CMIR50,,,
3M,Ceramic IR,CMIR70,,,
3M,Ceramic X,Ceramic-X 5,,,
3M,Ceramic X,Ceramic-X 15,,,
3M,Ceramic X,Ceramic-X 35,,,
3M,FX-HP,FX-HP 5,,,
3M,FX-HP,FX-HP 15,,,
3M,FX-HP,FX-HP 20,,,
3M,FX-HP,FX-HP 30,,,
3M,FX-HP,FX-HP 50,,,
3M,Black Chrome,BC10,,,
3M,Black Chrome,BC20,,,
3M,Black Chrome,BC35,,,
3M,Black Chrome,BC40,,,
3M,Reflective,P18ARL,,,
3M,Obsidian,OB5,,,
3M,Obsidian,OB15,,,
3M,Obsidian,OB25,,,
3M,Obsidian,OB35,,,
3M,Safety & Security,S40,,,
3M,Safety & Security,S70,,,
3M,Safety & Security,ULTRAS800,,,
3M,Safety & Security,SAS5,,,
3M,Safety & Security,SAS20,,,
3M,Safety & Security,SAS35,,,
3M,Safety & Security,SAS50,,,
